segment,customers,share_customers_%,revenue,share_revenue_%,recency_days_mean,frequency_mean,monetary_mean,aov_mean,tenure_days_mean,recency_days_median,frequency_median,monetary_median,aov_median,tenure_days_median,recency_days_p90,frequency_p90,monetary_p90,aov_p90,tenure_days_p90,recency_days_lift_vs_overall,frequency_lift_vs_overall,monetary_lift_vs_overall,aov_lift_vs_overall,tenure_days_lift_vs_overall
At Risk,12939,22.86,196193.06954872608,34.24,994.503,1.484,22.065,17.14,1169.996,892.689,1.0,20.0,15.9,1102.587,1606.653,2.0,42.0,28.99,1846.659,1.91,1.02,1.53,1.74,1.75
Dormant,9703,17.14,0.0,0.0,1061.834,1.0,0.0,0.0,1061.834,964.295,1.0,0.0,0.0,964.295,1716.133,1.0,0.0,0.0,1716.133,2.04,0.69,0.0,0.0,1.59
Loyal,7508,13.26,83609.51980984211,14.59,96.745,1.599,16.475,15.249,285.316,85.689,1.0,17.65,17.65,149.595,206.842,3.0,29.5,29.5,804.117,0.19,1.1,1.14,1.55,0.43
Potential Loyalist,3839,6.78,67508.8398014307,11.78,357.375,2.437,24.216,9.941,933.076,351.556,2.0,22.0,9.195,810.409,462.086,4.0,51.982,21.5,1653.803,0.69,1.67,1.68,1.01,1.39
Regulars,16874,29.81,64738.35975410417,11.3,214.775,1.0,5.741,5.741,214.775,207.499,1.0,0.0,0.0,207.499,428.222,1.0,20.0,20.0,428.222,0.41,0.69,0.4,0.58,0.32
VIP,5742,10.14,160905.8795963712,28.08,90.234,2.671,38.189,14.951,543.712,75.541,2.0,32.965,13.0,377.3,199.421,4.0,63.838,24.524,1316.563,0.17,1.83,2.64,1.52,0.81
