decile,customers,pred_sum,actual_sum,pred_per_cust,actual_per_cust
10,141,3032.6820216146502,52.25999927520752,21.508383132018796,0.37063829273196824
9,140,1963.4301953070621,42.0,14.024501395050445,0.3
8,140,1626.7975225404064,44.0,11.619982303860045,0.3142857142857143
7,140,1443.079886727714,0.0,10.307713476626528,0.0
6,140,1286.262077582149,10.829999923706055,9.187586268443921,0.0773571423121861
5,141,1167.7669265980073,4.949999809265137,8.2820349404114,0.03510638162599388
4,140,1047.4043568864845,10.3100004196167,7.481459692046318,0.07364286014011928
3,140,874.0862074056981,25.0,6.243472910040701,0.17857142857142858
2,140,504.02855488199305,15.149999618530272,3.6002039634428074,0.10821428298950193
1,141,165.48170353480342,0.0,1.1736291030837123,0.0
